Class2021,Class2019,Pixels,proportion2019,proportion2021
Vegetation,Vegetation,539548.278431373,0.8811983004214694,0.7223729709310281
Built Up,Vegetation,31190.63921568628,0.05094101744857651,0.06970618596166546
Water,Vegetation,9802.835294117647,0.016010136897483946,0.25733225996732545
Field,Vegetation,31747.533333333333,0.05185054523247011,0.02478956840176876
Vegetation,Built Up,124298.81960784316,0.25130017052404513,0.16641718858668977
Built Up,Built Up,310249.47058823536,0.6272444509915417,0.6933588998219559
Water,Built Up,2468.9843137254898,0.004991649808243696,0.06481281121351781
Field,Built Up,57605.62745098037,0.11646372867616948,0.04498045964797956
Vegetation,Water,9647.082352941175,0.2523988088446893,0.012915974007684272
Built Up,Water,2449.321568627451,0.06408215704831188,0.005473849495742264
Water,Water,24951.65098039216,0.6528157173074572,0.6550007772295422
Field,Water,1173.529411764706,0.030703316799541663,9.163322176556069e-4
Vegetation,Field,73416.76470588235,0.05366678966952783,0.09829386647459779
Built Up,Field,103569.26666666663,0.0757079132088464,0.23146106472063646
Water,Field,870.6078431372549,6.364040718692251e-4,0.022854151589614565
Field,Field,1190154.474509803,0.8699888930497567,0.929313639732596
